suicides,age,period,cohort,sex,country
0,64,1990,1926,female,Antigua and Barbuda
0,75,1990,1915,female,Antigua and Barbuda
0,20,1990,1970,male,Antigua and Barbuda
0,30,1990,1960,male,Antigua and Barbuda
0,10,1990,1980,male,Antigua and Barbuda
0,64,1990,1926,male,Antigua and Barbuda
0,75,1990,1915,male,Antigua and Barbuda
0,20,1991,1971,female,Antigua and Barbuda
0,30,1991,1961,female,Antigua and Barbuda
0,44,1991,1947,female,Antigua and Barbuda
0,10,1991,1981,female,Antigua and Barbuda
0,64,1991,1927,female,Antigua and Barbuda
0,75,1991,1916,female,Antigua and Barbuda
0,20,1991,1971,male,Antigua and Barbuda
0,30,1991,1961,male,Antigua and Barbuda
0,44,1991,1947,male,Antigua and Barbuda
0,10,1991,1981,male,Antigua and Barbuda
0,64,1991,1927,male,Antigua and Barbuda
0,75,1991,1916,male,Antigua and Barbuda
0,20,1992,1972,female,Antigua and Barbuda
0,30,1992,1962,female,Antigua and Barbuda
0,44,1992,1948,female,Antigua and Barbuda
0,10,1992,1982,female,Antigua and Barbuda
0,64,1992,1928,female,Antigua and Barbuda
0,75,1992,1917,female,Antigua and Barbuda
0,20,1992,1972,male,Antigua and Barbuda
0,30,1992,1962,male,Antigua and Barbuda
0,44,1992,1948,male,Antigua and Barbuda
0,10,1992,1982,male,Antigua and Barbuda
0,64,1992,1928,male,Antigua and Barbuda
0,75,1992,1917,male,Antigua and Barbuda
1,30,1993,1963,male,Antigua and Barbuda
0,20,1993,1973,female,Antigua and Barbuda
0,30,1993,1963,female,Antigua and Barbuda
0,44,1993,1949,female,Antigua and Barbuda
0,10,1993,1983,female,Antigua and Barbuda
0,64,1993,1929,female,Antigua and Barbuda
0,75,1993,1918,female,Antigua and Barbuda
0,20,1993,1973,male,Antigua and Barbuda
0,44,1993,1949,male,Antigua and Barbuda
0,10,1993,1983,male,Antigua and Barbuda
0,64,1993,1929,male,Antigua and Barbuda
0,75,1993,1918,male,Antigua and Barbuda
0,20,1994,1974,female,Antigua and Barbuda
0,30,1994,1964,female,Antigua and Barbuda
0,44,1994,1950,female,Antigua and Barbuda
0,10,1994,1984,female,Antigua and Barbuda
0,64,1994,1930,female,Antigua and Barbuda
0,75,1994,1919,female,Antigua and Barbuda
0,20,1994,1974,male,Antigua and Barbuda
0,30,1994,1964,male,Antigua and Barbuda
0,44,1994,1950,male,Antigua and Barbuda
0,10,1994,1984,male,Antigua and Barbuda
0,64,1994,1930,male,Antigua and Barbuda
0,75,1994,1919,male,Antigua and Barbuda
0,20,1995,1975,female,Antigua and Barbuda
0,30,1995,1965,female,Antigua and Barbuda
0,44,1995,1951,female,Antigua and Barbuda
0,10,1995,1985,female,Antigua and Barbuda
0,64,1995,1931,female,Antigua and Barbuda
0,75,1995,1920,female,Antigua and Barbuda
0,20,1995,1975,male,Antigua and Barbuda
0,30,1995,1965,male,Antigua and Barbuda
0,44,1995,1951,male,Antigua and Barbuda
0,10,1995,1985,male,Antigua and Barbuda
0,64,1995,1931,male,Antigua and Barbuda
0,75,1995,1920,male,Antigua and Barbuda
0,20,1998,1978,female,Antigua and Barbuda
0,30,1998,1968,female,Antigua and Barbuda
0,44,1998,1954,female,Antigua and Barbuda
0,10,1998,1988,female,Antigua and Barbuda
0,64,1998,1934,female,Antigua and Barbuda
0,75,1998,1923,female,Antigua and Barbuda
0,20,1998,1978,male,Antigua and Barbuda
0,30,1998,1968,male,Antigua and Barbuda
0,44,1998,1954,male,Antigua and Barbuda
0,10,1998,1988,male,Antigua and Barbuda
0,64,1998,1934,male,Antigua and Barbuda
0,75,1998,1923,male,Antigua and Barbuda
0,20,1999,1979,female,Antigua and Barbuda
0,30,1999,1969,female,Antigua and Barbuda
0,44,1999,1955,female,Antigua and Barbuda
0,10,1999,1989,female,Antigua and Barbuda
0,64,1999,1935,female,Antigua and Barbuda
0,75,1999,1924,female,Antigua and Barbuda
0,20,1999,1979,male,Antigua and Barbuda
0,30,1999,1969,male,Antigua and Barbuda
0,44,1999,1955,male,Antigua and Barbuda
0,10,1999,1989,male,Antigua and Barbuda
0,64,1999,1935,male,Antigua and Barbuda
0,75,1999,1924,male,Antigua and Barbuda
1,64,2000,1936,male,Antigua and Barbuda
1,44,2000,1956,male,Antigua and Barbuda
0,20,2000,1980,female,Antigua and Barbuda
0,30,2000,1970,female,Antigua and Barbuda
0,44,2000,1956,female,Antigua and Barbuda
0,10,2000,1990,female,Antigua and Barbuda
0,64,2000,1936,female,Antigua and Barbuda
0,75,2000,1925,female,Antigua and Barbuda
0,20,2000,1980,male,Antigua and Barbuda
0,30,2000,1970,male,Antigua and Barbuda
0,10,2000,1990,male,Antigua and Barbuda
0,75,2000,1925,male,Antigua and Barbuda
2,44,2001,1957,male,Antigua and Barbuda
0,20,2001,1981,female,Antigua and Barbuda
0,30,2001,1971,female,Antigua and Barbuda
0,44,2001,1957,female,Antigua and Barbuda
0,10,2001,1991,female,Antigua and Barbuda
0,64,2001,1937,female,Antigua and Barbuda
0,75,2001,1926,female,Antigua and Barbuda
0,20,2001,1981,male,Antigua and Barbuda
0,30,2001,1971,male,Antigua and Barbuda
0,10,2001,1991,male,Antigua and Barbuda
0,64,2001,1937,male,Antigua and Barbuda
0,75,2001,1926,male,Antigua and Barbuda
0,20,2002,1982,female,Antigua and Barbuda
0,30,2002,1972,female,Antigua and Barbuda
0,44,2002,1958,female,Antigua and Barbuda
0,10,2002,1992,female,Antigua and Barbuda
0,64,2002,1938,female,Antigua and Barbuda
0,75,2002,1927,female,Antigua and Barbuda
0,20,2002,1982,male,Antigua and Barbuda
0,30,2002,1972,male,Antigua and Barbuda
